<ticker>,<MSSV>,<exchange>,<PTTKHT>,<LTTQ>,<ATBMTT>,<MMT>,<PTTKTT>,<HDH>,<LTM>
95,3005020044,T,5.4,2.8,5.2,6.3,5.8,5.4,0
96,3005020045,T,6.5,8,6,6.6,6.8,6.9,0
97,3005020047,T,6.2,7.2,5.2,7.1,6.2,7.4,0
98,3005020048,T,7,6.7,5.7,6.9,7.1,6.8,0
99,3005020051,T,6.1,7.4,5.7,7.6,5.8,6.6,0
100,3005020052,T,6.8,7.2,7.3,6.9,6.6,6.9,0
101,3005020054,T,6.3,6.3,8,6.9,6.8,6.4,0
102,3005020055,T,5,5.7,6.7,6.1,6.5,7.2,0
103,3005020057,T,6.7,7.8,6.7,6.4,7.5,6.8,0
104,3005020058,T,5.5,4.7,6,7.4,5.6,4.2,0
105,3005020059,T,6,6.7,6.2,7,6,6.4,0
106,3005020061,T,7,7.5,7,6.3,6.5,6.2,0
107,3005020062,T,5.4,4.6,6.7,7.6,6.5,6.8,0
108,3005020063,T,5.6,5.7,5.5,5.9,6.3,6.2,0
109,3005020064,T,6.8,7,6.2,6.1,7.5,7.1,0
110,3005020066,T,6.3,7,6.5,6,5.5,7.3,0
111,3005020069,T,5.5,3.8,6.4,7.9,6.1,6.7,0
112,3005020070,T,5.8,6,6.3,7.8,6.3,6.3,0
113,3005020073,T,6.3,6.8,6.5,6.3,6,5.7,0
114,3005020075,T,6.9,6.4,6.2,6.9,5.2,6.1,0
115,3005020076,T,6.8,7.7,5.9,3.8,5.8,6.8,0
116,3005020077,T,5.9,6.8,5.5,8.1,6.8,7.1,0
117,3005020081,T,7,6.9,5.7,4.8,5.9,6.9,0
118,3005020082,T,7.2,7.7,6.5,6.1,6.9,6.4,0
119,3005020083,T,7.2,6.6,5.7,7.8,5.7,5.4,0
120,3005020084,T,4.8,4.8,3,7.2,6.6,6.5,0
121,3005020087,T,7.2,7.5,6,8.6,6.8,7.5,0
122,3005020088,T,6.3,6.2,5.5,7.9,5.8,6.2,0
123,3005020089,T,6.6,6.2,6.7,6.8,6.7,6.4,0
124,3005020090,T,6.1,5,6.7,7.6,7.5,7.5,0
125,3005020091,T,5.9,6.5,5.7,6.1,6.2,5.8,0
126,3005020092,T,4.7,7.4,6.2,6.6,6.7,6.3,0
127,3005020093,T,7.5,5.2,6.3,7.1,7.2,7.2,0
128,3005020094,T,5.9,5.4,6.2,6.2,5,6,0
129,3005020095,T,4.7,7.2,7.7,7.3,7.5,6.5,0
130,3005020096,T,7.4,4.4,5.5,7.1,7.3,7,0
131,3005020097,T,7.3,7.5,6,6.6,7,6.9,0
132,3005020098,T,6.8,7,7,6.5,7.5,6.9,0
133,3005020100,T,6.3,5.7,6.4,7.4,6.8,6.4,0
134,3005020102,T,6.1,6.5,6.7,7.1,6.5,7.4,0
135,3005020103,T,5.5,5.1,5.7,6.5,6.1,5.9,0
136,3005020106,T,5.8,6.6,5.7,7.3,7.2,7.2,0
137,3005020108,T,6.8,6,6.4,6.9,7.2,6.7,0
138,3005020111,T,6,7,6.2,6.8,6.7,6.8,0
139,3005020112,T,5.5,6.3,5.7,7.2,5.6,6.4,0
140,3005020114,T,5.3,4.2,6.7,6.5,5.5,5.8,0
